theta,R,Dstar,size,members,classification
0.002,1.0,0.99,29,A000894|A000900|A000704|A002020|A005425|A006240|A013989|A014898|A014929|A016111|A027412|A027475|A027476|A041084|A041147|A041183|A041270|A041271|A048099|A049000|A049030|A053887|A053967|A054366|A054367|A054368|A056574|A058293|A059480,Predictable
0.002,1.0,0.991,61,A001080|A001081|A001506|A001507|A001508|A005700|A006105|A006135|A006097|A013709|A013776|A013777|A014899|A014900|A015253|A020514|A025749|A025757|A026244|A026337|A030538|A032000|A032041|A032049|A032051|A032053|A032038|A032039|A032040|A032134|A032135|A032136|A032137|A032144|A032146|A032148|A032209|A032210|A032211|A032212|A032219|A032001|A032002|A032003|A032015|A032221|A032223|A032297|A032298|A032299|A032300|A032313|A041112|A041114|A041115|A041223|A048990|A051149|A051789|A052704|A053175,Partially Predictable
0.002,1.0,0.992,22,A001084|A001085|A001658|A002550|A007004|A007767|A014901|A014903|A014904|A034294|A034661|A034662|A041144|A041145|A041180|A041181|A046061|A046715|A047974|A054369|A054370|A054371,Predictable
0.002,1.0,0.993,11,A000898|A000902|A005164|A007698|A014178|A014905|A014907|A034663|A046269|A046271|A053534,Predictable
0.002,1.0,0.994,8,A006346|A006691|A042630|A042631|A042866|A042867|A058068|A058069,Partially Predictable
0.002,1.0,0.995,14,A006225|A008964|A009812|A009719|A011833|A026025|A027522|A027523|A034165|A049088|A051307|A055531|A056038|A058872,Partially Predictable
0.002,1.0,0.996,47,A007017|A008380|A009176|A009272|A009378|A009609|A009620|A009762|A009764|A009843|A011248|A012007|A012009|A012112|A012124|A012148|A012170|A012171|A012328|A012349|A012373|A012375|A012384|A012509|A012481|A012665|A012721|A012792|A012754|A012838|A012921|A013050|A013038|A013300|A014130|A024260|A024271|A024296|A027675|A049405|A049406|A051106|A051115|A051477|A051844|A058783|A059420,Unpredictable
0.002,1.0,0.997,165,A000282|A001686|A003300|A007235|A009158|A009270|A009505|A009182|A009631|A009634|A009610|A009678|A009688|A009691|A009695|A009698|A009699|A009700|A009723|A009819|A009702|A009703|A009705|A009706|A009836|A009765|A009841|A010280|A011804|A012005|A012016|A012055|A012059|A012032|A012062|A012072|A012080|A012100|A012102|A012104|A012105|A012106|A012108|A012109|A012119|A012139|A012146|A012147|A012154|A012157|A012161|A012179|A012232|A012234|A012237|A012335|A012341|A012348|A012350|A012367|A012372|A012377|A012385|A012243|A012439|A012477|A012482|A012483|A012486|A012489|A012490|A012491|A012535|A012536|A012541|A012543|A012546|A012551|A012552|A012723|A012724|A012727|A012739|A012740|A012787|A012788|A012744|A012747|A012750|A012751|A012752|A012823|A012830|A012831|A012832|A012837|A012803|A012810|A012812|A012819|A012850|A012953|A012917|A012937|A012983|A012995|A013031|A013066|A013106|A013113|A013150|A013296|A013297|A013299|A013301|A013302|A013303|A013343|A013344|A013345|A013347|A013348|A013349|A013390|A013391|A013393|A013394|A013395|A013399|A013400|A013401|A013402|A013403|A013406|A013433|A013443|A013453|A014118|A013926|A016101|A024245|A024259|A024265|A024266|A024274|A024278|A024279|A024280|A024289|A024294|A024297|A028241|A030438|A034229|A034197|A034245|A048604|A049033|A049214|A049215|A049216|A054052|A054053|A054732|A057974,Partially Predictable
0.002,1.0,0.998,43,A001660|A002826|A006719|A009708|A012064|A012066|A012068|A012069|A012070|A012071|A012073|A012076|A012084|A012107|A012136|A012156|A012182|A012183|A012166|A012383|A012388|A012444|A012784|A012793|A012753|A012815|A012946|A012922|A013007|A013139|A013090|A013180|A024233|A032430|A039821|A052122|A053898|A053907|A053938|A053970|A056990|A057677|A058793,Partially Predictable
0.002,1.0,0.999,1,A013308,Unpredictable
0.002,1.0,1.0,2,A009149|A012201,Unpredictable
0.003,0.0,0.0,1,A005378,Predictable
0.003,0.001,0.002,1,A047563,Predictable
0.003,0.002,0.003,2,A004774|A058992,Predictable
0.003,0.01,0.02,1,A036138,Predictable
0.003,0.021,0.053,1,A043200,Unpredictable
0.003,0.022,0.044,2,A047442|A047542,Predictable
0.003,0.024,0.055,1,A043928,Unpredictable
0.003,0.024,0.067,1,A043929,Unpredictable
0.003,0.025,0.042,2,A047236|A047242,Predictable
0.003,0.025,0.064,2,A044392|A044772,Unpredictable
0.003,0.025,0.068,1,A044211,Unpredictable
0.003,0.026,0.048,1,A026278,Unpredictable
0.003,0.026,0.051,1,A043934,Unpredictable
0.003,0.027,0.054,2,A044178|A044186,Unpredictable
0.003,0.027,0.066,1,A044037,Unpredictable
0.003,0.038,0.059,1,A044500,Unpredictable
0.003,0.039,0.064,1,A044112,Unpredictable
0.003,0.044,0.062,1,A023733,Predictable
0.003,0.058,0.071,1,A039799,Predictable
0.003,0.094,0.198,1,A016591,Unpredictable
0.003,0.099,0.2,1,A001622,Predictable
0.003,0.105,0.203,1,A016659,Unpredictable
0.003,0.116,0.126,1,A043320,Predictable
0.003,0.118,0.334,1,A021270,Predictable
0.003,0.122,0.212,1,A019616,Unpredictable
0.003,0.125,0.25,1,A053843,Predictable
0.003,0.14,0.211,1,A011100,Predictable
0.003,0.151,0.211,1,A021919,Unpredictable
0.003,0.26,0.506,1,A004595,Unpredictable
0.003,0.27,0.242,1,A046829,Unpredictable
0.003,0.335,0.335,1,A021160,Predictable
0.003,0.5,0.501,1,A003815,Predictable
0.003,0.747,0.694,1,A050908,Unpredictable
0.003,0.767,0.72,1,A051453,Unpredictable
0.003,0.8,0.888,1,A038582,Unpredictable
0.003,0.804,0.785,1,A054645,Unpredictable
0.003,0.862,0.893,1,A058177,Unpredictable
0.003,0.896,0.401,1,A038451,Unpredictable
0.003,0.896,0.464,1,A038453,Unpredictable
0.003,0.905,0.935,1,A004192,Unpredictable
0.003,0.965,0.958,1,A021132,Predictable
0.003,0.968,0.984,1,A040109,Predictable
0.003,0.972,0.986,11,A040195|A040224|A040255|A040288|A040323|A040360|A040433|A040567|A040719|A040769|A040884,Unpredictable
0.003,0.974,0.987,1,A040252,Unpredictable
0.003,0.979,0.873,1,A025546,Unpredictable
0.003,0.979,0.975,3,A042564|A042565|A042890,Predictable
0.003,0.979,0.976,2,A041334|A041335,Partially Predictable
0.003,0.985,0.971,2,A042422|A042423,Unpredictable
0.003,0.985,0.976,2,A042552|A042553,Partially Predictable
0.003,0.985,0.979,2,A042346|A042347,Partially Predictable
0.003,0.986,0.972,2,A041806|A041807,Partially Predictable
0.003,0.986,0.973,10,A052283|A054547|A054733|A057271|A057273|A057274|A057275|A057276|A057277|A057278,Unpredictable
0.003,0.986,0.976,2,A042932|A042933,Partially Predictable
0.003,0.986,0.979,4,A041620|A041621|A042914|A042915,Unpredictable
0.003,0.987,0.977,1,A059062,Predictable
0.003,0.989,0.967,1,A008302,Predictable
0.003,0.989,0.972,1,A055483,Predictable
0.003,0.99,0.971,1,A059340,Predictable
0.003,0.99,0.973,1,A033619,Unpredictable
0.003,0.99,0.974,2,A041046|A041047,Predictable
0.003,0.99,0.976,1,A041298,Predictable
0.003,0.99,0.979,11,A041069|A041206|A041207|A041214|A041215|A041346|A041347|A041876|A041877|A042128|A042129,Predictable
0.003,0.99,0.98,2,A041704|A041705,Predictable
0.003,0.99,0.981,2,A042090|A042091,Unpredictable
0.003,0.992,0.978,1,A048340,Predictable
0.003,0.992,0.986,1,A028393,Predictable
0.003,0.993,0.979,2,A042912|A042913,Partially Predictable
0.003,0.994,0.977,1,A038303,Predictable
0.003,0.994,0.981,3,A014363|A051128|A051129,Predictable
0.003,0.994,0.984,2,A018120|A032008,Unpredictable
0.003,0.994,0.986,2,A006431|A033082,Predictable
0.003,0.995,0.978,1,A042544,Unpredictable
0.003,0.995,0.979,3,A041820|A041870|A041871,Partially Predictable
0.003,0.995,0.98,2,A038221|A046798,Predictable
0.003,0.995,0.981,4,A003992|A004248|A009998|A047848,Predictable
0.003,0.995,0.982,1,A014365,Predictable
0.003,0.995,0.984,2,A034803|A045794,Predictable
0.003,0.995,0.985,13,A000219|A001636|A005308|A010922|A013983|A018141|A018142|A025048|A025049|A038085|A048810|A052914|A052916,Predictable
0.003,0.995,0.986,267,A000044|A000358|A001060|A001350|A001638|A001891|A001925|A001926|A001461|A002889|A002940|A002941|A004398|A004695|A004696|A004697|A004698|A004699|A004798|A004799|A005181|A005404|A005405|A005407|A006367|A006490|A006491|A006492|A006500|A006327|A006478|A007039|A007040|A007574|A007435|A008346|A010049|A010752|A010753|A010755|A010758|A010759|A013915|A013984|A013985|A013986|A013987|A014162|A014166|A014286|A014241|A014242|A014243|A014244|A014251|A014252|A014535|A014739|A018910|A019274|A019528|A020701|A020706|A020712|A020717|A020695|A020732|A020743|A020878|A020956|A022121|A022124|A022125|A022126|A022130|A022136|A022142|A022106|A022109|A022110|A022112|A022113|A022114|A022115|A022116|A022117|A022118|A022119|A022086|A022087|A022088|A022089|A022090|A022091|A022092|A022093|A022095|A022096|A022097|A022098|A022308|A022309|A022310|A022311|A022312|A022313|A022314|A022315|A022316|A022317|A022318|A022319|A022320|A022361|A022362|A022363|A022364|A022365|A022366|A022367|A022368|A022369|A022370|A022371|A022372|A022373|A022374|A022375|A022376|A022345|A022346|A022347|A022348|A022349|A022350|A022351|A022352|A022353|A022354|A022355|A022356|A022357|A022358|A022359|A022360|A022381|A022383|A022384|A022385|A022386|A022387|A022388|A022389|A022390|A022391|A022392|A022393|A022394|A022395|A022397|A022398|A022399|A022400|A022401|A022402|A022403|A022406|A022407|A022408|A022409|A022410|A022321|A022322|A022323|A022324|A022325|A022326|A022809|A022810|A022863|A022864|A022754|A022755|A022756|A023484|A023487|A023488|A023490|A023548|A023550|A023552|A023554|A023607|A023610|A023625|A023657|A023537|A023860|A023861|A023864|A024322|A024309|A024310|A024313|A024314|A024315|A024318|A024319|A024458|A024857|A026647|A026625|A026636|A026735|A026746|A027181|A027963|A027964|A027976|A028892|A029907|A029826|A032089|A032090|A031923|A032190|A033814|A033817|A033818|A033960|A033937|A037140|A036999|A037157|A038577|A045925|A047079|A048577|A048584|A048811|A051449|A052959|A052952|A053298|A053308|A053309|A053311|A053295|A053296|A053739|A053808|A053809|A054451|A054454|A054455|A054469|A054470|A054968|A054886|A055243|A055244|A055498|A055499|A055500|A055501|A055502|A055608,Predictable
0.003,0.995,0.987,18,A000299|A001639|A003229|A003479|A004692|A010923|A010902|A014003|A018151|A018153|A018155|A020718|A035524|A048812|A048813|A048814|A048815|A052537,Predictable
0.003,0.995,0.988,2,A004690|A058498,Partially Predictable
0.003,0.996,0.982,1,A049403,Predictable
0.003,0.996,0.983,4,A013622|A014719|A048113|A054582,Predictable
0.003,0.996,0.984,9,A013610|A013620|A027011|A027465|A035324|A038220|A049063|A053121|A055375,Predictable
0.003,0.996,0.987,7,A001640|A004691|A018157|A018123|A020750|A038000|A052527,Partially Predictable
0.003,0.996,0.988,33,A000417|A001641|A002466|A010901|A014002|A014006|A014167|A017913|A017915|A018166|A018908|A018918|A020713|A020736|A021011|A023359|A023429|A026385|A026702|A026757|A026768|A027559|A028495|A038086|A038091|A046971|A048328|A048587|A049853|A052547|A052907|A054887|A056489,Predictable
0.003,0.996,0.989,52,A000382|A000496|A001642|A001643|A001644|A001645|A002447|A005676|A005834|A007068|A007486|A007713|A014004|A018082|A018078|A018079|A018184|A018186|A018921|A020992|A023427|A026779|A027000|A026790|A027083|A027086|A027024|A027025|A027026|A027053|A027054|A027055|A027674|A030435|A033305|A038087|A038092|A045626|A047081|A047082|A047083|A049856|A049859|A049860|A050243|A050344|A052535|A052546|A052915|A052931|A056820|A056821,Predictable
0.003,0.996,0.99,13,A001649|A001631|A001949|A006265|A014964|A018085|A018922|A018923|A019526|A023424|A025250|A045780|A049112,Predictable
0.003,0.996,0.992,1,A052210,Unpredictable
0.003,0.997,0.972,2,A042460|A042461,Unpredictable
0.003,0.997,0.978,2,A041338|A041339,Predictable
0.003,0.997,0.979,4,A042042|A042043|A042924|A042925,Predictable
0.003,0.997,0.986,2,A046559|A050155,Partially Predictable
0.003,0.997,0.988,1,A031150,Predictable
0.003,0.997,0.989,1,A004689,Unpredictable
0.003,0.997,0.99,58,A000163|A000554|A000690|A000709|A001137|A001677|A003138|A004688|A005197|A006788|A006980|A007147|A007483|A007560|A008965|A013697|A014915|A018240|A019500|A023426|A026549|A026532|A026645|A026623|A026634|A027306|A027945|A028303|A028304|A032239|A033622|A036564|A037956|A037957|A039828|A042981|A042982|A042979|A042980|A046718|A047074|A047162|A048285|A048788|A051033|A052467|A053637|A053638|A053639|A054650|A054889|A055873|A056295|A056357|A056486|A057772|A058300|A059348,Predictable
0.003,0.997,0.991,4,A000444|A007463|A049075|A051529,Partially Predictable
0.003,0.998,0.975,2,A042876|A042877,Predictable
0.003,0.998,0.976,2,A042602|A042603,Predictable
0.003,0.998,0.978,6,A041192|A041193|A041512|A041513|A041582|A041583,Predictable
0.003,0.998,0.979,2,A041648|A041649,Unpredictable
0.003,0.998,0.983,1,A050356,Predictable
0.003,0.998,0.984,1,A054842,Predictable
0.003,0.998,0.986,1,A026703,Predictable
0.003,0.998,0.991,68,A000063|A000117|A000184|A000346|A000984|A001453|A001498|A002063|A002066|A002089|A002042|A002712|A003518|A005028|A005174|A005504|A005505|A005498|A005499|A005754|A006082|A006421|A006420|A014300|A015249|A022895|A022896|A022897|A022898|A022899|A022900|A022901|A022902|A022903|A022904|A022920|A024038|A024039|A024041|A024042|A024043|A024044|A024045|A024046|A024047|A024048|A024049|A027432|A027650|A030056|A030662|A032253|A035080|A035929|A037646|A043291|A045653|A045662|A049314|A051122|A052992|A053428|A055022|A055395|A056280|A056391|A056371|A058896,Predictable
0.003,0.998,0.992,1,A007662,Predictable
0.003,0.998,0.993,1,A033838,Unpredictable
0.003,0.998,0.995,1,A008300,Predictable
0.003,0.999,0.969,2,A041130|A041131,Predictable
0.003,0.999,0.97,2,A041986|A041987,Predictable
0.003,0.999,0.982,10,A016498|A016471|A016474|A016731|A016733|A041382|A041383|A041724|A041725|A058283,Partially Predictable
0.003,0.999,0.983,7,A016463|A016469|A016551|A016537|A016737|A058282|A058288,Unpredictable
0.003,0.999,0.984,7,A016513|A016534|A016536|A048376|A054483|A058286|A058651,Unpredictable
0.003,0.999,0.985,9,A016501|A016519|A016553|A042354|A042355|A042724|A042725|A054482|A056030,Partially Predictable
0.003,0.999,0.986,2,A016567|A016530,Unpredictable
0.003,0.999,0.987,4,A009964|A041178|A041179|A058297,Predictable
0.003,0.999,0.988,7,A041065|A041067|A041097|A042146|A042147|A042852|A042853,Predictable
0.003,0.999,0.989,240,A000264|A001079|A001557|A001657|A001946|A001947|A002276|A002277|A002278|A002279|A002280|A002281|A002282|A003953|A004304|A006238|A006442|A006849|A011547|A011549|A011550|A011551|A014881|A014882|A014896|A016075|A016091|A016092|A016093|A016279|A016280|A016281|A016292|A016313|A016314|A016315|A016981|A017065|A017161|A017952|A017953|A017954|A017916|A017917|A017918|A017999|A018090|A018091|A018092|A018054|A018055|A018069|A018070|A018071|A018206|A018207|A018208|A018912|A019040|A019041|A019483|A019488|A019490|A019618|A019671|A019672|A019677|A019682|A019687|A019742|A019747|A019722|A019623|A019628|A019854|A019839|A019869|A019958|A020000|A020341|A020346|A020566|A020567|A020569|A020572|A020573|A020577|A020584|A020593|A020594|A020595|A020606|A020494|A020499|A020447|A020448|A020838|A020977|A020978|A020979|A020980|A021049|A021054|A021092|A021094|A021064|A021104|A020981|A021164|A021144|A021154|A021202|A021204|A021214|A021234|A021244|A021254|A021284|A021294|A021268|A021274|A021279|A021304|A021314|A021324|A021334|A021384|A021394|A021404|A021464|A021474|A021484|A021524|A021534|A021514|A021604|A021614|A021644|A021629|A021704|A021714|A021664|A021684|A021694|A021724|A021774|A021784|A021794|A021844|A021829|A021834|A021874|A021924|A021944|A021954|A021984|A021994|A022000|A021914|A021964|A021974|A021884|A021894|A022448|A022454|A022455|A022456|A022628|A022565|A022725|A022845|A023038|A023772|A023540|A023795|A023946|A023947|A023948|A023951|A023952|A023953|A023955|A023956|A024114|A024434|A024346|A024347|A024170|A024771|A025015|A025951|A026000|A027307|A028157|A028105|A028106|A028107|A028196|A028204|A028223|A034187|A034517|A034524|A034660|A037057|A037059|A037063|A037065|A037069|A037071|A037487|A037624|A037610|A037757|A041063|A041040|A041041|A041060|A041862|A041863|A042238|A042239|A042474|A042475|A045742|A045744|A047855|A050621|A052141|A054363|A054364|A054365|A054935|A054726|A056116|A057137|A057138|A059435|A059482|A059524,Predictable
0.003,0.999,0.99,9,A006283|A027473|A033888|A055362|A058861|A059275|A059276|A059227|A059229,Partially Predictable
0.003,0.999,0.991,9,A000279|A005751|A025596|A026740|A041009|A042426|A042427|A047900|A058042,Predictable
0.003,0.999,0.992,11,A005435|A006605|A014260|A025599|A036295|A036296|A038761|A038762|A041690|A041691|A054721,Predictable
0.003,0.999,0.993,6,A041846|A041847|A042018|A042019|A042206|A042207,Predictable
0.003,1.0,0.978,2,A041244|A041245,Unpredictable
0.003,1.0,0.979,7,A041248|A041249|A041252|A041253|A041400|A041401|A055489,Predictable
0.003,1.0,0.98,7,A036517|A041350|A041351|A041960|A041961|A042198|A042199,Predictable
0.003,1.0,0.981,3,A016546|A041394|A041395,Unpredictable
0.003,1.0,0.982,7,A013680|A041256|A041257|A041352|A041353|A041726|A041727,Partially Predictable
0.003,1.0,0.983,2,A016504|A016738,Unpredictable
0.003,1.0,0.984,6,A003117|A016483|A016499|A028240|A041258|A041259,Partially Predictable
0.003,1.0,0.985,10,A001203|A002950|A016477|A016514|A016566|A041216|A041217|A041356|A041357|A058284,Partially Predictable
0.003,1.0,0.986,4,A041222|A041260|A041261|A056770,Predictable
0.003,1.0,0.987,8,A001086|A001471|A004381|A009965|A041308|A041309|A050012|A058118,Partially Predictable
0.003,1.0,0.988,17,A004005|A006101|A006089|A009966|A009967|A009968|A009969|A009970|A041127|A041161|A041218|A041219|A041262|A041263|A041310|A041311|A058663,Predictable
0.003,1.0,0.989,6,A004382|A034969|A041087|A042662|A042663|A056573,Partially Predictable
0.003,1.0,0.99,4,A046731|A052066|A053909|A056732,Predictable
0.003,1.0,0.991,2,A003281|A058424,Predictable
0.003,1.0,0.992,3,A006822|A036511|A046274,Partially Predictable
0.003,1.0,0.993,7,A000513|A006824|A014767|A020544|A020547|A048463|A055512,Unpredictable
0.003,1.0,0.994,20,A000424|A001626|A001627|A003224|A009727|A027486|A027487|A027488|A027839|A027840|A027841|A047677|A048617|A051103|A051862|A051893|A052127|A052737|A055555|A058791,Predictable
0.003,1.0,0.995,33,A003225|A003719|A003773|A008273|A009159|A009165|A009166|A009251|A009539|A009682|A009683|A009733|A009713|A012008|A012018|A012130|A012558|A012642|A012941|A012940|A013045|A013294|A013357|A013358|A013359|A013502|A024252|A024276|A024240|A024292|A027530|A028459|A038780,Partially Predictable
0.003,1.0,0.996,31,A003513|A006548|A007804|A009167|A009168|A009214|A009613|A009658|A009662|A009680|A009684|A012006|A012195|A012168|A012333|A012380|A012539|A012542|A012846|A012957|A013041|A013352|A013353|A013389|A013423|A024287|A032361|A032429|A034207|A053897|A057668,Unpredictable
0.003,1.0,0.997,4,A007303|A013457|A051005|A057331,Unpredictable
0.003,1.0,0.998,2,A034692|A052070,Partially Predictable
0.003,1.0,0.999,4,A003712|A005402|A012431|A052136,Partially Predictable
0.004,0.0,0.0,1,A020942,Predictable
0.004,0.001,0.001,1,A059531,Unpredictable
0.004,0.002,0.003,1,A054684,Predictable
0.004,0.021,0.046,1,A047416,Predictable
0.004,0.024,0.061,1,A043927,Unpredictable
0.004,0.026,0.066,1,A044033,Unpredictable
0.004,0.027,0.061,1,A044034,Unpredictable
0.004,0.027,0.076,1,A044035,Unpredictable
0.004,0.029,0.057,1,A044387,Unpredictable
0.004,0.031,0.061,1,A043150,Unpredictable
0.004,0.039,0.069,1,A044151,Unpredictable
0.004,0.049,0.07,1,A044654,Unpredictable
0.004,0.065,0.18,1,A019743,Unpredictable
0.004,0.089,0.199,1,A010617,Unpredictable
0.004,0.093,0.113,1,A033014,Predictable
0.004,0.094,0.196,1,A016640,Predictable
0.004,0.107,0.207,1,A019863,Predictable
0.004,0.134,0.219,1,A019830,Predictable
0.004,0.143,0.233,1,A019860,Predictable
0.004,0.403,0.312,1,A045011,Unpredictable
0.004,0.5,0.5,1,A046701,Predictable
0.004,0.504,0.697,1,A054083,Unpredictable
0.004,0.648,0.581,1,A029541,Unpredictable
0.004,0.693,0.665,1,A057497,Unpredictable
0.004,0.794,0.61,1,A044861,Unpredictable
0.004,0.856,0.926,1,A023670,Predictable
0.004,0.883,0.844,1,A048160,Predictable
0.004,0.902,0.822,1,A029517,Unpredictable
0.004,0.907,0.902,1,A020639,Predictable
0.004,0.924,0.918,1,A027538,Predictable
0.004,0.944,0.936,1,A032577,Unpredictable
0.004,0.944,0.962,1,A028554,Unpredictable
0.004,0.968,0.984,1,A040168,Unpredictable
0.004,0.971,0.985,1,A040166,Unpredictable
0.004,0.972,0.948,1,A055993,Predictable
0.004,0.972,0.986,4,A040317|A040563|A040662|A040881,Partially Predictable
0.004,0.973,0.986,1,A040472,Unpredictable
0.004,0.976,0.988,1,A040316,Unpredictable
0.004,0.979,0.962,2,A054252|A054669,Partially Predictable
0.004,0.979,0.969,2,A042698|A042699,Partially Predictable
0.004,0.979,0.972,2,A042216|A042217,Unpredictable
0.004,0.979,0.973,2,A041864|A041865,Predictable
0.004,0.979,0.979,2,A042318|A042319,Unpredictable
0.004,0.979,0.98,2,A042521|A042520,Predictable
0.004,0.98,0.964,2,A008406|A054924,Partially Predictable
0.004,0.983,0.963,1,A029757,Unpredictable
0.004,0.984,0.979,1,A047922,Predictable
0.004,0.985,0.974,2,A042516|A042517,Partially Predictable
0.004,0.986,0.978,2,A041572|A041573,Predictable
0.004,0.986,0.979,4,A041848|A041849|A042308|A042309,Unpredictable
0.004,0.987,0.97,1,A033819,Unpredictable
0.004,0.987,0.976,1,A002809,Unpredictable
0.004,0.988,0.985,1,A028254,Unpredictable
0.004,0.989,0.975,2,A042904|A042905,Predictable
0.004,0.989,0.978,2,A041102|A041103,Predictable
0.004,0.99,0.968,2,A041276|A041277,Unpredictable
0.004,0.99,0.971,2,A042782|A042783,Unpredictable
0.004,0.99,0.973,2,A042814|A042815,Predictable
0.004,0.99,0.976,2,A041636|A041637,Partially Predictable
0.004,0.99,0.979,4,A041896|A041897|A042776|A042777,Partially Predictable
0.004,0.992,0.975,1,A048337,Predictable
0.004,0.992,0.977,1,A048338,Predictable
0.004,0.992,0.978,1,A045575,Unpredictable
0.004,0.992,0.979,1,A028533,Predictable
0.004,0.992,0.981,1,A000866,Unpredictable
0.004,0.993,0.973,2,A038279|A054543,Partially Predictable
0.004,0.993,0.975,1,A038291,Predictable
0.004,0.993,0.978,2,A041814|A041815,Partially Predictable
0.004,0.993,0.979,2,A022578|A035444,Predictable
0.004,0.993,0.98,4,A022655|A022579|A035523|A052922,Predictable
0.004,0.993,0.981,22,A003143|A003964|A005246|A007182|A017820|A017910|A017912|A022656|A022657|A022658|A022659|A022580|A022596|A023007|A032020|A047166|A052955|A053599|A056498|A056508|A056513|A057048,Predictable
0.004,0.993,0.982,13,A017821|A017822|A017823|A018130|A022660|A022629|A022727|A022728|A032063|A032158|A032233|A048809|A051026,Partially Predictable
0.004,0.994,0.982,3,A006977|A011972|A017824,Partially Predictable
0.004,0.994,0.983,32,A003410|A005691|A011761|A011971|A013979|A017825|A017826|A019527|A020711|A020721|A020745|A020749|A022729|A022730|A022731|A022732|A022733|A027022|A027037|A027010|A027069|A027947|A027959|A048585|A048588|A048589|A048591|A048625|A048626|A049194|A050228|A058278,Predictable
0.004,0.994,0.984,22,A001635|A002379|A003312|A006999|A007801|A013982|A014250|A018058|A018136|A020741|A022734|A022735|A022737|A022738|A033320|A034583|A047084|A048583|A048586|A050343|A052532|A052947,Partially Predictable
0.004,0.994,0.985,6,A018140|A021013|A024567|A038090|A052942|A052943,Partially Predictable
0.004,0.995,0.979,2,A026780|A059317,Predictable
0.004,0.995,0.98,1,A026769,Predictable
0.004,0.995,0.981,3,A047998|A050227|A054335,Partially Predictable
0.004,0.995,0.985,1,A008892,Predictable
0.004,0.995,0.986,9,A001333|A001674|A001675|A001698|A001932|A006684|A010754|A046995|A052806,Partially Predictable
0.004,0.995,0.987,3,A026597|A026598|A028399,Predictable
0.004,0.995,0.988,1,A000198,Predictable
0.004,0.996,0.96,1,A047887,Unpredictable
0.004,0.996,0.973,2,A041456|A041457,Predictable
0.004,0.996,0.977,4,A041092|A041093|A041200|A041201,Predictable
0.004,0.996,0.978,4,A041976|A041977|A042154|A042155,Predictable
0.004,0.996,0.979,4,A042442|A042443|A042872|A042873,Partially Predictable
0.004,0.996,0.98,1,A050166,Predictable
0.004,0.996,0.981,3,A008287|A038622|A056242,Predictable
0.004,0.996,0.982,4,A001263|A008314|A034781|A057963,Predictable
0.004,0.996,0.983,6,A014462|A014413|A014631|A035506|A046202|A046741,Partially Predictable
0.004,0.996,0.986,2,A010757|A057192,Partially Predictable
0.004,0.996,0.987,8,A000968|A001671|A032252|A032254|A037028|A054251|A056490|A056491,Partially Predictable
0.004,0.996,0.988,26,A000300|A000631|A001429|A002605|A005703|A029868|A029869|A029870|A029871|A029853|A032205|A032206|A032207|A032208|A035082|A035083|A035084|A035085|A036650|A036653|A036671|A045821|A052252|A055935|A058385|A058387,Predictable
0.004,0.996,0.989,10,A001373|A002076|A002026|A005173|A005213|A032251|A032255|A052993|A056279|A056454,Predictable
0.004,0.997,0.969,2,A041152|A041153,Predictable
0.004,0.997,0.97,2,A041116|A041117,Predictable
0.004,0.997,0.971,2,A042132|A042133,Predictable
0.004,0.997,0.973,2,A042666|A042667,Partially Predictable
0.004,0.997,0.979,3,A032788|A041556|A041557,Partially Predictable
0.004,0.997,0.983,1,A057731,Predictable
0.004,0.997,0.986,2,A006895|A056040,Partially Predictable
0.004,0.997,0.989,11,A032306|A038845|A038846|A040075|A045543|A052544|A054337|A054338|A054340|A058842|A059222,Predictable
0.004,0.997,0.992,1,A001800,Predictable
0.004,0.998,0.979,2,A027448|A057110,Predictable
0.004,0.998,0.98,1,A055972,Unpredictable
0.004,0.998,0.981,2,A008835|A029947,Predictable
0.004,0.998,0.987,14,A016200|A054122|A055360|A055827|A055828|A055829|A055815|A055816|A055817|A055824|A055825|A055826|A056480|A057647,Partially Predictable
0.004,0.998,0.988,55,A000257|A000517|A001091|A001447|A003222|A005058|A006096|A013730|A013731|A014330|A016127|A016140|A016282|A016849|A017521|A017932|A017997|A019333|A019512|A019928|A020570|A021044|A021129|A021184|A021224|A021374|A021434|A021503|A021544|A021764|A021854|A021814|A022111|A022558|A023949|A024050|A024051|A024052|A024053|A024055|A024096|A025230|A025992|A026379|A030116|A033144|A033839|A034496|A037525|A037717|A045743|A047853|A053455|A059155|A059304,Predictable
0.004,0.998,0.989,9,A001579|A003499|A005062|A024582|A024587|A045539|A051036|A055361|A059387,Partially Predictable
0.004,0.998,0.99,3,A041426|A041427|A052211,Partially Predictable
0.004,0.998,0.994,1,A036411,Predictable
0.004,0.999,0.968,1,A055789,Predictable
0.004,0.999,0.977,2,A042506|A042507,Partially Predictable
0.004,0.999,0.979,12,A016449|A016524|A041095|A041128|A041129|A041132|A041133|A041188|A041290|A041291|A042692|A042693,Predictable
0.004,0.999,0.98,26,A016442|A016453|A016494|A016570|A033422|A033423|A033424|A033425|A033426|A033427|A036568|A041138|A041139|A041186|A042480|A042481|A042754|A042755|A057068|A057069|A057070|A057071|A057072|A057073|A057074|A058285,Unpredictable
0.004,0.999,0.981,12,A002947|A005483|A016489|A016495|A016576|A016740|A030168|A030170|A041108|A041109|A042380|A042381,Unpredictable
0.004,0.999,0.982,3,A016556|A016577|A016521,Unpredictable
0.004,0.999,0.983,2,A041140|A041141,Predictable
